Model,Train_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,Training_Time
Logistic Regression,0.39916666666666667,0.345,0.344788979490981,0.345,0.34484431285467554,1.4332866668701172
SVM (RBF Kernel),0.664,0.3383333333333333,0.3385161899354312,0.3383333333333333,0.3293163684734782,0.055613040924072266
Random Forest,0.9883333333333333,0.335,0.33226825011036937,0.335,0.3327972595969198,0.2743806838989258
LightGBM,1.0,0.3233333333333333,0.32276100940666763,0.3233333333333333,0.3229093868186534,0.40486788749694824
K-Nearest Neighbors,1.0,0.31166666666666665,0.30939972281934525,0.31166666666666665,0.31035191078394975,0.002508878707885742
Decision Tree,0.5891666666666666,0.30333333333333334,0.3043356921799217,0.30333333333333334,0.301158267397704,0.02825164794921875
XGBoost,1.0,0.3016666666666667,0.30081961361619747,0.3016666666666667,0.30104682575750685,0.7871081829071045
